TIME,DISP,TEMP
1155,1.38219,14.2528
1160,1.39151,14.2318
1165,1.41444,14.2205
1170,1.40926,14.1737
1175,1.4223,14.1399
1180,1.44026,14.1223
1185,1.44919,14.1008
1190,1.46023,13.9863
1195,1.47188,13.9573
1200,1.44369,13.8979
1205,1.49625,13.8331
1210,1.53526,13.8199
1215,1.56134,13.7508
1220,1.56565,13.6581
1225,1.53539,13.6367
1230,1.5868,13.601
1235,1.59882,13.5571
1240,1.5847,13.5325
1245,1.62448,13.5079
1250,1.63018,13.4684
1255,1.60794,13.4411
1260,1.64951,13.4073
1265,1.65814,13.3606
1270,1.66336,13.336
1275,1.66691,13.3263
1280,1.67302,13.3016
1285,1.67488,13.2735
1290,1.72866,13.1089
1295,1.75113,13.0117
1300,1.753,12.9489
1305,1.78058,12.9081
1310,1.8016,12.8568
1315,1.82196,12.8358
1320,1.82379,12.8008
1325,1.84608,12.7991
1330,1.84487,12.7721
1335,1.86026,12.7634
1340,1.86371,12.7448
1345,1.83219,12.7256
1350,1.86315,12.7202
1355,1.84404,12.7105
1360,1.84487,12.6974
1365,1.8762,12.6662
1370,1.90362,12.6445
1375,1.89608,12.6259
1380,1.90828,12.6075
1385,1.89171,12.5958
1390,1.92539,12.5674
1395,1.90042,12.5406
1400,1.9514,12.5191
1405,1.95391,12.5159
1410,1.96087,12.4971
1415,1.96756,12.467
1420,1.97977,12.4542
1425,1.98539,12.4181
1430,1.95549,12.3832
1435,1.98437,12.3463
1440,1.97564,12.3257
1445,2.00756,12.3005
1450,2.01813,12.2673
1455,2.02156,12.262
1460,2.01975,12.1937
1465,2.03495,12.1215
1470,2.04148,11.9898
1475,2.05486,11.9823
1480,2.06867,12.0557
1485,2.07079,12.0954
1490,2.07036,12.0578
1495,2.07223,12.0561
1500,2.07504,12.0426
1505,2.07708,12.0332
1510,2.07857,12.0145
1515,2.09183,11.967
1520,2.08425,11.9481
1525,2.11192,11.9054
1530,2.11038,11.8464
1535,2.13162,11.8178
1540,2.12873,11.7859
1545,2.14512,11.763
1550,2.14944,11.7465
1555,2.15278,11.7078
1560,2.15909,11.6105
1565,2.17027,11.5867
1570,2.17834,11.5691
1575,2.1884,11.587
1580,2.19405,11.6051
1585,2.19447,11.621
1590,2.1979,11.6191
1595,2.20036,11.6135
1600,2.20017,11.6068
1605,2.19642,11.6036
1610,2.19618,11.6097
1615,2.20022,11.6186
1620,2.2017,11.6384
1625,2.19275,11.6498
1630,2.19572,11.6469
1635,2.20133,11.6334
1640,2.20569,11.5937
1645,2.21107,11.5783
1650,2.21449,11.5643
1655,2.22149,11.5483
1660,2.2245,11.5367
1665,2.23186,11.5168
1670,2.23579,11.5006
1675,2.24583,11.4742
1680,2.25222,11.4385
1685,2.25906,11.4071
1690,2.26322,11.3925
1695,2.26734,11.3798
1700,2.27044,11.4428
1705,2.26582,11.4639
1710,2.25856,11.4914
1715,2.25675,11.5092
1720,2.25338,11.5085
1725,2.2549,11.4988
1730,2.2556,11.4864
1735,2.25564,11.4738
1740,2.25366,11.4729
1745,2.25907,11.4505
1750,2.25883,11.4534
1755,2.24949,11.4901
1760,2.24158,11.5431
1765,2.20523,11.5657
1770,2.22913,11.6019
1775,2.22265,11.6514
1780,2.19647,11.7208
1785,2.1783,11.7492
1790,2.15969,11.8009
1795,2.13234,11.8518
1800,2.10938,11.9047
1805,2.10324,11.9664
