,Frequency,Mass,Damping ratio
Mode 1,3.018,11393.2,0.005
Mode 2,9.68,5497.6,0.005
Mode 3,11.192,16580.6,0.005
Mode 4,13.348,4916.4,0.005
Mode 5,17.95,12814.6,0.005
