Description,DIS 1,DIS 2,DIS 3,DIS 4,DIS 5,VEL 1,VEL 2,VEL 3,VEL 4,VEL 5,ACC 1,ACC 2,ACC 3,ACC 4,ACC 5
ACCZ at node 1050,0,0,0,0,0,0,0,0,0,0,0.850204439,0.996552898,0.989571976,-8.45407E-05,-0.001109221
ACCZ at node 1020,0,0,0,0,0,0,0,0,0,0,0.999521086,0.657915479,0.610035754,-0.000179295,0.001209709
ACCZ at node 1063,0,0,0,0,0,0,0,0,0,0,0.775019219,0.995358853,1,0.311686578,-0.030212043
ACCZ at node 1023,0,0,0,0,0,0,0,0,0,0,1,0.66120695,0.614156549,0.432177921,0.004594804
ACCZ at node 2017,0,0,0,0,0,0,0,0,0,0,0.6998535,-0.170952731,-0.248930018,1,0.427952378
ACCZ at node 1057,0,0,0,0,0,0,0,0,0,0,0.775015348,0.995267298,0.999831749,-0.311726422,0.026161805
ACCZ at node 3023,0,0,0,0,0,0,0,0,0,0,0.699851307,-0.171037368,-0.249154106,-0.999931804,-0.428292378
