,Disp 1,Disp 2,Disp 3,Vel 1,Vel 2,Vel 3,Acc 1,Acc 2,Acc 3
Velocity at X=56.25m,0,0,0,1,1,0.923879533,0,0,0
Velocity at X=130.0m,0,0,0,-0.166857528,0.004807774,-1,0,0,0
