,Frequency,Mass,Damping ratio
Mode1,0.222,569200.9,0.005
Mode2,0.737,8991.6,0.005
Mode3,0.916,8609.7,0.005
Mode4,1.799,6623.3,0.005
Mode5,2.083,13110.5,0.005
Mode6,3.545,473899.6,0.005
