X,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Mode10,Mode11,Mode12,Mode13,Mode14,Mode15,Mode16,Mode17,Mode18,Mode19,Mode20,Mode21,Mode22,Mode23,Mode24,Mode25,Mode26,Mode27,Mode28,Mode29,Mode30,Mode31,Mode32,Mode33,Mode34,Mode35,Mode36,Mode37,Mode38,Mode39,Mode40,Mode41,Mode42,Mode43,Mode44,Mode45,Mode46,Mode47,Mode48,Mode49,Mode50,Mode51,Mode52,Mode53,Mode54,Mode55,Mode56,Mode57,Mode58,Mode59,Mode60,Mode61,Mode62,Mode63,Mode64,Mode65,Mode66,Mode67,Mode68,Mode69,Mode70,Mode71,Mode72,Mode73,Mode74,Mode75,Mode76,Mode77,Mode78,Mode79,Mode80,Mode81,Mode82,Mode83,Mode84,Mode85,Mode86,Mode87,Mode88,Mode89,Mode90,Mode91,Mode92,Mode93,Mode94,Mode95,Mode96,Mode97,Mode98,Mode99,Mode100
10,1.40E-02,2.50E-02,-0.023,0.021,0.019,-0.021,0.028,-0.012,0.041,0.043,0,0.001,0.003,-0.005,-0.043,0.041,0.013,0,-0.003,0.001,-0.002,-0.007,0,-0.002,-0.006,0.026,0.026,0.001,-0.003,0.004,0.007,-0.003,0.004,0.001,0.003,-0.001,0.001,-0.002,-0.004,-0.002,-0.002,0.007,-0.01,-0.002,-0.003,0.007,-0.019,-0.026,0.048,0.037,0.05,0.004,-0.005,-0.043,-0.013,-0.012,0.003,0.006,-0.001,-0.003,-0.004,0.008,0.002,-0.023,0.018,0.006,0.021,0.019,-0.007,0.012,0,-0.004,-0.004,0.002,0.001,-0.014,0.006,0.004,-0.033,0.014,0.012,0.004,0.004,-0.018,-0.014,0.009,-0.028,0.003,0.001,0,0,0.012,-0.001,0,0.003,-0.013,0.001,0.001,-0.02,0.021
10.625,0.014,0.025,-0.023,0.02,0.019,-0.021,0.027,-0.011,0.041,0.042,-0.002,0.003,0.004,-0.003,-0.043,0.04,0.013,0,-0.007,-0.001,-0.007,-0.012,0.001,-0.011,-0.013,0.026,0.028,-0.001,0.002,0.013,0.016,-0.004,0.003,0.001,0.002,0,0,-0.002,-0.009,-0.005,-0.001,0.005,-0.011,-0.002,-0.003,0.008,-0.017,-0.026,0.046,0.034,0.047,0.004,-0.005,-0.04,-0.014,-0.012,0.005,0.002,-0.001,-0.004,-0.004,0.008,-0.007,-0.023,0.018,0.01,0.023,0.022,-0.007,0.007,0,0.001,0.004,0.005,0.006,-0.014,-0.006,-0.005,-0.035,0.009,0.014,0.004,0.004,-0.018,-0.023,0.016,-0.024,-0.012,0.008,-0.001,-0.004,0.003,-0.003,0,-0.007,-0.015,-0.007,0.003,-0.02,0.021
11.25,0.014,0.024,-0.022,0.019,0.018,-0.021,0.026,-0.009,0.04,0.04,-0.003,0.004,0.005,-0.002,-0.042,0.039,0.013,0.001,-0.01,-0.004,-0.011,-0.016,0.001,-0.02,-0.02,0.027,0.03,-0.002,0.006,0.021,0.023,-0.005,0.002,0.002,0.002,0,-0.001,-0.002,-0.012,-0.008,0.001,0.004,-0.011,-0.002,-0.002,0.008,-0.014,-0.024,0.041,0.028,0.04,0.004,-0.005,-0.032,-0.015,-0.013,0.006,-0.003,-0.001,-0.004,-0.003,0.006,-0.015,-0.023,0.019,0.013,0.023,0.023,-0.007,0.001,0,0.006,0.011,0.008,0.01,-0.012,-0.017,-0.013,-0.033,0.003,0.015,0.004,0.004,-0.015,-0.029,0.021,-0.017,-0.025,0.013,-0.002,-0.007,-0.007,-0.004,0,-0.015,-0.017,-0.013,0.004,-0.021,0.02
11.875,0.014,0.024,-0.021,0.018,0.017,-0.02,0.025,-0.008,0.039,0.038,-0.004,0.005,0.005,-0.001,-0.04,0.037,0.013,0.001,-0.013,-0.006,-0.014,-0.02,0.001,-0.027,-0.026,0.026,0.031,-0.003,0.011,0.029,0.03,-0.005,0.001,0.002,0.001,0.001,-0.002,-0.002,-0.016,-0.011,0.002,0.002,-0.01,-0.002,-0.001,0.008,-0.009,-0.02,0.033,0.02,0.029,0.004,-0.004,-0.022,-0.016,-0.014,0.007,-0.007,0,-0.004,-0.003,0.005,-0.022,-0.023,0.02,0.016,0.022,0.022,-0.007,-0.005,0,0.011,0.018,0.01,0.014,-0.009,-0.026,-0.019,-0.027,-0.003,0.014,0.004,0.003,-0.011,-0.031,0.023,-0.008,-0.034,0.016,-0.002,-0.008,-0.015,-0.005,0,-0.022,-0.018,-0.018,0.004,-0.022,0.019
12.5,0.014,0.023,-0.02,0.017,0.016,-0.019,0.023,-0.007,0.037,0.036,-0.005,0.006,0.006,0.001,-0.038,0.035,0.013,0.002,-0.016,-0.007,-0.017,-0.023,0.002,-0.034,-0.031,0.026,0.032,-0.004,0.014,0.035,0.036,-0.005,0,0.002,0,0.001,-0.003,-0.001,-0.018,-0.013,0.003,0.001,-0.008,-0.002,0,0.006,-0.004,-0.015,0.023,0.01,0.017,0.003,-0.003,-0.01,-0.018,-0.016,0.007,-0.011,0,-0.003,-0.002,0.003,-0.028,-0.023,0.02,0.017,0.019,0.019,-0.007,-0.011,0,0.015,0.022,0.012,0.017,-0.005,-0.031,-0.021,-0.018,-0.009,0.011,0.002,0.002,-0.005,-0.029,0.021,0.001,-0.037,0.017,-0.002,-0.009,-0.02,-0.005,0,-0.025,-0.018,-0.019,0.001,-0.023,0.018
13.125,0.013,0.021,-0.019,0.016,0.015,-0.018,0.021,-0.005,0.035,0.033,-0.005,0.007,0.006,0.002,-0.036,0.032,0.013,0.003,-0.019,-0.009,-0.019,-0.025,0.002,-0.039,-0.034,0.025,0.032,-0.005,0.018,0.041,0.04,-0.005,-0.001,0.003,0,0.002,-0.004,-0.001,-0.021,-0.016,0.004,-0.001,-0.005,-0.002,0.001,0.005,0.002,-0.008,0.011,0,0.003,0.002,-0.002,0.002,-0.02,-0.018,0.007,-0.015,0.001,-0.003,-0.001,0,-0.032,-0.023,0.021,0.017,0.015,0.014,-0.007,-0.015,0,0.018,0.025,0.013,0.019,0,-0.032,-0.021,-0.007,-0.012,0.007,0.001,0,0.002,-0.023,0.016,0.011,-0.035,0.014,-0.002,-0.008,-0.022,-0.005,0,-0.025,-0.017,-0.017,-0.003,-0.023,0.017
13.75,0.013,0.02,-0.017,0.014,0.014,-0.017,0.019,-0.004,0.033,0.031,-0.006,0.008,0.006,0.003,-0.033,0.029,0.013,0.003,-0.02,-0.01,-0.021,-0.026,0.002,-0.043,-0.036,0.024,0.031,-0.006,0.02,0.044,0.043,-0.005,-0.002,0.003,-0.001,0.002,-0.005,0,-0.022,-0.017,0.005,-0.003,-0.002,-0.001,0.001,0.002,0.007,-0.001,-0.002,-0.011,-0.011,0.001,0,0.015,-0.021,-0.02,0.006,-0.018,0.002,-0.002,0,-0.002,-0.034,-0.023,0.022,0.017,0.01,0.009,-0.007,-0.018,0,0.019,0.026,0.013,0.02,0.005,-0.028,-0.016,0.005,-0.015,0.001,0,-0.002,0.009,-0.014,0.008,0.018,-0.027,0.01,-0.001,-0.005,-0.02,-0.004,-0.001,-0.021,-0.015,-0.012,-0.007,-0.024,0.015
14.375,0.012,0.018,-0.016,0.013,0.012,-0.015,0.016,-0.002,0.03,0.027,-0.006,0.008,0.006,0.003,-0.03,0.026,0.013,0.004,-0.021,-0.011,-0.021,-0.027,0.002,-0.045,-0.036,0.022,0.03,-0.007,0.022,0.046,0.044,-0.004,-0.003,0.003,-0.002,0.003,-0.005,0.001,-0.022,-0.018,0.006,-0.004,0.002,-0.001,0.002,0,0.012,0.006,-0.014,-0.021,-0.023,0,0.001,0.026,-0.023,-0.021,0.006,-0.02,0.003,-0.002,0.001,-0.003,-0.034,-0.022,0.021,0.015,0.005,0.003,-0.006,-0.02,0,0.019,0.024,0.012,0.021,0.01,-0.021,-0.009,0.017,-0.015,-0.004,-0.002,-0.004,0.015,-0.002,-0.001,0.024,-0.016,0.003,0,-0.002,-0.016,-0.002,-0.001,-0.014,-0.013,-0.005,-0.012,-0.023,0.013
15,0.011,0.017,-0.014,0.011,0.011,-0.014,0.014,-0.001,0.027,0.024,-0.007,0.008,0.006,0.004,-0.027,0.022,0.012,0.004,-0.021,-0.011,-0.021,-0.026,0.002,-0.045,-0.036,0.02,0.028,-0.008,0.022,0.046,0.043,-0.004,-0.003,0.003,-0.002,0.003,-0.004,0.002,-0.022,-0.019,0.007,-0.006,0.005,0,0.002,-0.002,0.016,0.013,-0.024,-0.029,-0.033,-0.001,0.002,0.035,-0.023,-0.022,0.005,-0.02,0.004,-0.001,0.002,-0.005,-0.032,-0.021,0.021,0.014,0,-0.002,-0.005,-0.019,0,0.017,0.021,0.011,0.02,0.013,-0.011,0.001,0.027,-0.013,-0.009,-0.003,-0.006,0.02,0.01,-0.011,0.026,-0.002,-0.005,0.001,0.002,-0.01,0,-0.001,-0.005,-0.01,0.004,-0.016,-0.022,0.011
15.625,0.01,0.015,-0.012,0.01,0.009,-0.012,0.012,0.001,0.024,0.021,-0.007,0.008,0.006,0.004,-0.023,0.019,0.012,0.005,-0.021,-0.011,-0.02,-0.024,0.002,-0.043,-0.033,0.018,0.026,-0.008,0.022,0.044,0.041,-0.003,-0.004,0.002,-0.002,0.003,-0.004,0.002,-0.021,-0.019,0.007,-0.007,0.008,0,0.002,-0.004,0.019,0.019,-0.033,-0.035,-0.041,-0.002,0.003,0.042,-0.023,-0.022,0.004,-0.02,0.005,-0.001,0.003,-0.006,-0.028,-0.02,0.019,0.012,-0.004,-0.006,-0.005,-0.016,0,0.015,0.016,0.009,0.019,0.016,0.001,0.011,0.034,-0.01,-0.014,-0.004,-0.007,0.023,0.021,-0.019,0.027,0.012,-0.012,0.002,0.006,-0.003,0.002,-0.001,0.005,-0.007,0.012,-0.018,-0.019,0.009
