X,Load
0,-173000
-2.7,-173000
-17.4,-173000
-20.1,-173000
-24.9,-170000
-27.6,-170000
-42.3,-170000
-45,-170000
-49.8,-184000
-52.5,-184000
-67.2,-184000
-69.9,-184000
-74.7,-163000
-77.4,-163000
-92.1,-163000
-94.8,-163000
-99.6,-167000
-102.3,-167000
-117,-167000
-119.7,-167000
-124.5,-194000
-127.2,-194000
-141.9,-194000
-144.6,-194000
-149.4,-179000
-152.1,-179000
-166.8,-179000
-169.5,-179000
-174.3,-175000
-177,-175000
-191.7,-175000
-194.4,-175000
