X,Load
0,-190000
-3,-190000
-14,-190000
-17,-190000
-20.525,-190000
-23.525,-190000
-38.2625,-190000
-41.2625,-190000
-59.2625,-190000
-62.2625,-190000
-80.2625,-190000
-83.2625,-190000
-101.263,-190000
-104.263,-190000
-122.263,-190000
-125.263,-190000
-143.262,-190000
-146.262,-190000
-164.262,-190000
-167.262,-190000
-185.262,-190000
-188.262,-190000
-206.262,-190000
-209.262,-190000
-227.262,-190000
-230.262,-190000
-248.262,-190000
-251.262,-190000
-269.262,-190000
-272.262,-190000
-290.262,-190000
-293.262,-190000
-311.262,-190000
-314.262,-190000
-332.262,-190000
-335.262,-190000
-353.262,-190000
-356.262,-190000
-371,-190000
-374,-190000
-377.525,-190000
-380.525,-190000
-391.525,-190000
-394.525,-190000
