X,Load
0,-191000
-2.7,-191000
-18.8,-191000
-21.5,-191000
-28.1,-208000
-30.8,-208000
-46.9,-208000
-49.6,-208000
-56.2,-205000
-58.9,-205000
-75,-205000
-77.7,-205000
-84.3,-198000
-87,-198000
-103.1,-198000
-105.8,-198000
-112.4,-208000
-115.1,-208000
-131.2,-208000
-133.9,-208000
-140.5,-210000
-143.2,-210000
-159.3,-210000
-162,-210000
-168.6,-191000
-171.3,-191000
-187.4,-191000
-190.1,-191000
