X,Load
0,-170000
-3,-170000
-14,-170000
-17,-170000
-20.525,-170000
-22.525,-170000
-39.7625,-170000
-41.7625,-170000
-61.7625,-170000
-63.7625,-170000
-83.7625,-170000
-85.7625,-170000
-105.763,-170000
-107.763,-170000
-127.763,-170000
-129.762,-170000
-149.762,-170000
-151.762,-170000
-171.762,-170000
-173.762,-170000
-193.762,-170000
-195.762,-170000
-215.762,-170000
-217.762,-170000
-237.762,-170000
-239.762,-170000
-259.762,-170000
-261.762,-170000
-281.762,-170000
-283.762,-170000
-303.762,-170000
-305.762,-170000
-325.762,-170000
-327.762,-170000
-347.762,-170000
-349.762,-170000
-367,-170000
-369,-170000
-372.525,-170000
-375.525,-170000
-386.525,-170000
-389.525,-170000
