X,Load
0,-181000
-3,-181000
-14,-181000
-17,-181000
-20.2,-202000
-23.2,-202000
-37.5,-175000
-40.5,-175000
-54.8,-189000
-57.8,-189000
-72.1,-208000
-75.1,-208000
-89.4,-198000
-92.4,-198000
-106.7,-182000
-109.7,-182000
-124,-188000
-127,-188000
-141.3,-188000
-144.3,-188000
-158.6,-187000
-161.6,-187000
-175.9,-219000
-178.9,-219000
-182.1,-181000
-185.1,-181000
-196.1,-181000
-199.1,-181000
